Z1;Z2;Z3;Z4;TME1;TME2;TME3;TME4
278;563;210;393;6;8;6;7
331;392;230;478;6;7;6;7
378;88;444;660;7;5;9;10
73;360;573;864;5;6;9;15
611;262;563;574;9;6;9;8
532;808;532;468;8;13;8;7
205;271;403;472;6;6;7;7
264;278;149;192;7;6;6;6
164;377;686;266;6;7;11;6
774;453;321;510;12;7;6;8
282;744;124;69;7;13;5;5
722;254;455;547;10;6;8;8
269;610;120;288;6;9;5;6
228;743;263;254;6;12;6;6
359;626;157;481;7;9;6;7
117;692;409;324;6;11;7;6
491;608;225;262;8;9;6;6
393;771;228;308;7;12;6;6
420;65;225;404;7;5;7;7
341;258;610;318;7;6;10;6
102;442;139;438;5;7;6;7
319;528;151;618;6;8;6;9
456;82;558;506;7;5;11;8
361;254;269;290;7;6;7;6
198;572;412;277;6;9;7;6
204;665;286;422;6;10;6;7
115;544;230;240;6;9;6;6
194;594;533;548;6;9;8;8
98;336;278;279;6;7;6;6
109;703;240;378;5;11;6;7
